"id","id_dz","id_pyt","pytanie","odpa","odpb","odpc"
284,3,9,"Co oznacza wg kodu „Q” symbol QTC?","wyłączam stację","na jaką częstotliwość mam się przestroić","mam dla ciebie pilną wiadomość"
285,3,10,"Co oznacza wg kodu „Q” symbol QSO?","moje położenie geograficzne jest…","łączność, mam łączność","siła twoich sygnałów waha się"
286,3,11,"Co oznacza wg kodu „Q” symbol QSL?","potwierdzam odbiór, przyślę kartę potwierdzającą łączność","nadawaj szybciej","słucham na częstotliwości"
287,3,12,"Co oznacza skrót slangu radioamatorskiego RX?","antena pionowa","odbiornik","klucz elektroniczny"
288,3,13,"Co oznacza skrót slangu radioamatorskiego Unlis?","nielicencjonowany nadawca","zakłócenia w odbiorze telewizji","zawody w łowach na lisa"
289,3,14,"Co oznacza skrót slangu radioamatorskiego YL?","antena z linki miedzianej","czas uniwersalny","panna - młoda pani"
290,3,15,"Co oznacza skrót slangu radioamatorskiego RPT?","proszę powtórzyć, powtórzę, powtarzam","proszę","przechodzę na inny kanał"
291,3,16,"Kiedy należy podawać raport o słyszalności?","na początku łączności i na życzenie korespondenta","w odstępach 5-10 minut","po każdym przekazaniu mikrofonu"
292,3,17,"Czy po uzyskaniu świadectwa operatora urządzeń radiowych można samodzielnie obsługiwać stację amatorską?","można, ale tylko pod nadzorem radioamatora posiadającego pozwolenie radiowe","można, w określonych przepisami zakresach częstotliwości","nie można, ponieważ do obsługi stacji amatorskiej upoważnia jedynie pozwolenie radiowe"
293,3,18,"Jakie należy spełnić warunki aby uzyskać pozwolenie radiowe na używanie stacji amatorskiej?","należy posiadać świadectwo operatora urządzeń radiowych i odbyć trzymiesięczną praktykę na stacji klubowej","należy posiadać świadectwo operatora urządzeń radiowych i co najmniej średnie wykształcenie","należy posiadać świadectwo operatora urządzeń radiowych"
294,3,19,"Czy razem ze świadectwem operatora urządzeń radiowych przydzielany jest znak wywoławczy dla stacji amatorskiej?","tak","nie, znak wywoławczy przydzielany jest w pozwoleniu radiowym","tak, jeżeli dana osoba posiada radiostację"
295,3,20,"Co to jest znak wywoławczy?","jest to symbol określający typ (model) stacji amatorskiej","jest to hasło pozwalające wywołać konkretnego rozmówcę","jest to kombinacja liter i cyfr stanowiąca unikalny w skali światowej identyfikator stacji amatorskiej"
296,3,21,"Czy można radioamatorski znak wywoławczy używać podczas pracy w zakresach częstotliwości nieprzeznaczonych dla służby amatorskiej?","można, po uzyskaniu specjalnej zgody UKE","absolutnie nie, znak radioamatorski można używać tylko w zakresach częstotliwości przeznaczonych dla radioamatorów","nie jest to zabronione i zależy od decyzji radioamatora"
297,3,22,"Jak zbudowany jest znak wywoławczy w pozwoleniach kategorii 1, 3 i 5?","składa się z prefiksu, cyfry i kombinacji maksymalnie czterech liter i cyfr","nie ma określonej budowy, składa się z liter i cyfr","składa się z prefiksu i dwóch liter"
298,3,23,"Jak zbudowany jest znak wywoławczy w pozwoleniu dodatkowym?","nie ma określonej budowy, składa się z liter i cyfr","składa się z prefiksu, cyfry i kombinacji maksymalnie siedmiu liter i cyfr","składa się z prefiksu i pięciu liter"
299,3,24,"Co to jest dziennik łączności LOG?","jest to dokument radiostacji amatorskiej zawierający informacje o korespondencji z innymi radiostacjami amatorskimi, zawierający znak stacji, imię operatora, datę, godzinę, pasmo w jakim przeprowadzono QSO","jest to informacja o procedurach obowiązujących podczas łączności z innymi stacjami","jest to informacja o kontroli radiostacji przez inspektorów UKE"
300,3,25,"Czy prowadzenie dziennika łączności LOG jest obowiązkowe?","jest to podstawowy obowiązek każdego radioamatora","prowadzenie Logu nie jest obowiązkowe, lecz wskazane","prowadzenie dziennika łączności może być nakazane jako zalecenie pokontrolne inspektorów ochrony środowiska"
301,3,26,"Co znaczy określenie czas uniwersalny UTC?","czas odpowiadający południkowi zerowemu (GMT), stosowany przez radioamatorów do odnotowania w Logu godz. łączności","czas w którym nie należy nawiązywać QSO","czas w którym można nawiązywać łączności z krajami europejskimi"
302,3,27,"Okręg wywoławczy SP1 to zwyczajowo przyjęty obszar:","województwa zachodniopomorskiego","województwa pomorskiego","województwa mazowieckiego"
303,3,28,"Okręg wywoławczy SP2 to zwyczajowo przyjęty obszar:","województwa zachodniopomorskiego","województw kujawsko-pomorskiego i pomorskiego","województwa mazowieckiego"
304,3,29,"Okręg wywoławczy SP3 to zwyczajowo przyjęty obszar:","województwa mazowieckiego","województw lubuskiego i wielkopolskiego","województw kujawsko-pomorskie i pomorskie"
305,3,30,"Okręg wywoławczy SP4 to zwyczajowo przyjęty obszar:","województwa mazowieckiego","województw lubuskiego i wielkopolskiego","województw podlaskiego i warmińsko-mazurskiego"
306,3,31,"Okręg wywoławczy SP5 to zwyczajowo przyjęty obszar:","województwa mazowieckiego","województw kujawsko-pomorskiego i pomorskiego","województwa zachodnio-pomorskiego"
307,3,32,"Okręg wywoławczy SP6 to zwyczajowo przyjęty obszar:","województwa mazowieckiego","województw dolnośląskiego i opolskiego","województwa zachodniopomorskiego"
308,3,33,"Okręg wywoławczy SP7 to zwyczajowo przyjęty obszar:","województwa mazowieckiego","województw dolnośląskiego i opolskiego","województw łódzkiego i świętokrzyskiego"
309,3,34,"Okręg wywoławczy SP8 to zwyczajowo przyjęty obszar:","województw dolnośląskiego i opolskiego","województw lubelskiego i podkarpackiego","województwa zachodniopomorskiego"
310,3,35,"Okręg wywoławczy SP9 to zwyczajowo przyjęty obszar:","województw małopolskiego i śląskiego","województw lubelskiego i podkarpackiego","województwa zachodniopomorskiego"
311,3,36,"Poprawne literowanie w j. polskim litery A i R:","Adam, Roman","Ala, Romuald","Alfa, Romeo"
312,3,37,"Poprawne literowanie w j. polskim litery G i K:","Genowefa, Ksawer","Grażyna Karol","Golf, Kazek"
313,3,38,"Poprawne literowanie w j. polskim litery W i Z:","Wanda, Zygmunt","Walery, Zosia","Warta, Zamek"
314,3,39,"Poprawne literowanie w j. polskim litery X i C:","Iks, Centrum","Xawery, Cezary","Xymena, Czesław"
315,3,40,"Poprawne literowanie w j. polskim litery P i N:","Piotr, Niwa","Przemek, Nina","Paweł, Natalia"
316,3,41,"Poprawne literowanie wg alfabetu ITU litery B i F:","Bil, Fox","Bravo, Foxtrot","Box, Florida"
317,3,42,"Poprawne literowanie wg alfabetu ITU litery C i G:","Charlie, Golf","Canada, Gold","Chile, Grenada"
318,3,43,"Poprawne literowanie wg alfabetu ITU litery I i K:","India, Kanada","Italia, Kaz","India, Kilo"
319,3,44,"Poprawne literowanie wg alfabetu ITU litery R i V:","Ren, Viktor","Romeo, Viktor","Radio, Viola"
320,3,45,"Poprawne literowanie wg alfabetu ITU litery X i S:","X-Rey, Sierra","Xsen, Santiago","X-Rey, Syria"
321,3,46,"Co to jest międzynarodowy kod „Q”?","zbiór symboli składających się z 3 liter, zaczynających się zawsze na literę Q, którym przypisane są proste zdanie lub słowa","symbole składające się z litery Q i 2-3 cyfr określających jakość odbieranego sygnału","wykaz zawierający prefiksy znaków wywoławczych wg ITU"
322,3,47,"Do czego służy międzynarodowy kod „Q”?","podania informacji o czasie rozpoczęcia łączności","skrócenia czasu nadawania informacji","informowania o sile odbieranego sygnału radowego"
323,3,48,"Co oznacza wg kodu „Q” symbol QRL?","źle się czuję, odezwę się później","jestem zajęty, proszę nie przeszkadzać","do zobaczenia latem"
324,3,49,"Co oznacza wg kodu „Q” symbol QRT?","która jest godzina","kończę nadawanie, wyłączam stację","nadawaj wolniej"
325,3,50,"Co oznacza wg kodu „Q” symbol QRZ?","zmień częstotliwość na zapasową","kto mnie woła","jestem zajęty, proszę nie przeszkadzać"
326,3,51,"Co oznacza wg kodu „Q” symbol QRX?","proszę czekać","nadawaj wolniej","mam zakłócenia od innych stacji"
327,3,52,"Co oznacza wg kodu „Q” symbol QRO?","nic dla ciebie nie mam","zwiększ moc, zwiększam moc","przerwij nadawanie, kończę pracę"
328,3,53,"Który z poniższych kodów „Q” oznacza: „Moja częstotliwość jest ...”?","QRJ","QRG","QRK"
329,3,54,"Który z poniższych kodów „Q” oznacza: „Przejdź na częstotliwość, zmień częstotliwość”?","QSY","QTR","QSA"
330,3,55,"Który z poniższych kodów „Q” oznacza: „Mam zakłócenia od innych stacji”?","QWO","QQQ","QRM"
331,3,56,"Który z poniższych kodów „Q” oznacza: „Siła twoich sygnałów waha się”?","QSB","QAZ","QRY"
332,3,57,"Który z poniższych kodów „Q” oznacza: „Jestem gotów do pracy, jestem czynny w eterze”?","QWX","QRV","QRU"
333,3,58,"Który z poniższych kodów „Q” oznacza: „Moje położenie geograficzne jest…”?","QLP","QRG","QTH"
334,3,59,"Który z poniższych kodów „Q” oznacza: „Zmniejsz moc, zmniejszam moc”?","QUB","QRA","QRP"
335,3,60,"Który z poniższych kodów „Q” oznacza: „Mam dla ciebie telegram, wiadomość”?","QRT","QTC","QSV"
336,3,61,"Który z poniższych kodów „Q” oznacza: „Łączność, mam łączność”?","QSL","QSO","QRS"
337,3,62,"Który z poniższych kodów „Q” oznacza: „Potwierdzam odbiór, przyślę kartę potwierdzającą łączność”?","QSL","QSA","QRT"
338,3,63,"Co oznaczają skróty slangu radioamatorskiego: BAND; CFM?","pasmo; potwierdzam","zakres; godzina","raport; popołudnie"
339,3,64,"Co oznaczają skróty slangu radioamatorskiego: BK; CALL?","później; kalibrator","przerwa; znak wywoławczy","stop; odebrałem wszystko"
340,3,65,"Co oznaczają skróty slangu radioamatorskiego: BEST; DX?","daleki; niezły","najlepszy; daleka łączność","dobry; szybki"
341,3,66,"Co oznaczają skróty slangu radioamatorskiego: BCI; BOX?","zakłócenia odbioru radiowego; skrytka pocztowa","zakłócenia od sieciowe; radiolatarnia amatorska","podaj dokładny czas; zmieniam kanał radiowy"
342,3,67,"Co oznaczają skróty slangu radioamatorskiego: OK; NAME?","stary, nie przeszkadzaj; moje nazwisko jest","wszystko w porządku; imię","przestrajam się; podaj adres"
343,3,68,"Co oznaczają skróty slangu radioamatorskiego: SWR; RX?","A -pasmo w metrach; antena pionowa","współczynnik fali stojącej; odbiornik","nasłuchowiec; klucz elektroniczny"
344,3,69,"Które z poniższych skrótów slangu radioamatorskiego oznaczają: „Zakłócenia w odbiorze telewizji; nielicencjonowany nadawca”?","TRX; LIS","TVI; UNLIS","RBM; ICP"
345,3,70,"Które z poniższych skrótów slangu radioamatorskiego oznaczają: „Panna, młoda pani; czas uniwersalny”?","YL; UTC","XYL; UT","LY; TRO"
346,3,71,"Co oznaczają skróty slangu radioamatorskiego: PSE; RPT?","proszę; powtórzyć, powtórzę, powtarzam","proszę; zmieniam pasmo o 10 kHz","przechodzę na inny kanał; raport podam na koniec łączności"
347,3,72,"Co oznaczają skróty slangu radioamatorskiego: 99; UTC?","pozdrawiam; czas ukraiński","ściskam dłoń; mam pilną wiadomość","idź precz, przepadnij; czas uniwersalny"
348,3,73,"Co oznaczają skróty slangu radioamatorskiego: LOG; DIRECT?","długa antena; dyrektor","dziennik pracy stacji; bezpośrednio","długi; bezpośredni kontakt"
349,3,74,"Co to jest raport R S stosowany podczas łączności fonicznych?","informacja o stanie technicznym radiostacji","informacja o stanie pogody przekazana w postaci zakodowanej","informacja o jakości odbieranego sygnału radiowego - czytelności i sił sygnału wyrażana w postaci cyfr"
350,3,75,"Co to jest raport R S T stosowany podczas łączności telegraficznych?","informacja o stanie technicznym radiostacji","informacja o jakości odbieranego sygnału radiowego – czytelności, siły i tonu akustycznego sygnału","informacja o stanie pogody"
351,3,76,"Co oznaczają w raporcie o słyszalności i jakości sygnałów korespondenta litery R S","R - jakość sygnału, S- słyszalność","R - stabilność sygnału, S- siła sygnału","R - czytelność, S - siła sygnału"
352,3,77,"Co oznaczają w raporcie o słyszalności i jakości sygnałów korespondenta litery R S T?","R - czytelność, S - siła sygnału, T - ton sygnału","R - jakość sygnału, S - słyszalność, T - częstotliwość","R - stabilność sygnału, S - siła sygnału, T - ton sygnału"
353,3,78,"Jaka jest skala czytelności i skala siły sygnału w raporcie R S?","skala czytelności 1-5 i skala siły sygnału 1-9","skala czytelności 1-9 i skala siły sygnału 1-5","skala czytelności 0-5 i skala siły sygnału 0-9"
354,3,79,"Co oznacza w łączności fonicznej raport 59?","dobrze czytelny, bardzo silny sygnał","czytelny, silny sygnał","słaby, czytelny z trudnościami sygnał"
355,3,80,"Co oznacza w łączności fonicznej raport 43?","dobrze czytelny, bardzo silny sygnał","czytelny, słaby sygnał","czytelny z trudnościami, słaby sygnał"
356,3,81,"Co oznacza w łączności telegraficznej raport 599?","czytelny, silny sygnał, dobry ton","dobrze czytelny, bardzo silny sygnał, bardzo dobry ton","czytelny z trudnościami, sygnał słaby, dobry ton"
357,3,82,"Co oznacza w łączności telegraficznej raport 438?","dobrze czytelny, bardzo silny sygnał, dobry ton","czytelny z trudnościami, słaby sygnał, bardzo dobry ton","czytelny, słaby sygnał, dobry ton sygnału"
358,3,83,"Co to jest okręg wywoławczy?","obszar, na którym pracuje maksimum 1000 radiostacji amatorskich","obszar odpowiadający podziałowi terytorialnemu Polski na województwa","zwyczajowo przyjęty obszar w granicach jednego lub dwóch województw"
359,3,84,"Na ile okręgów wywoławczych podzielona jest Polska?","16","10","9"
360,3,85,"Jak zbudowane są znaki wywoławcze radiostacji amatorskich?","dwie litery, cyfra, dwie do pięciu liter, np. SP3AB lub SP3ABCDE","dwie litery, cyfra, dwie do trzech liter, np. SP3AB lub SP3ABC","dwie litery lub cyfra i litera, cyfra, jeden do czterech znaków (liter lub cyfr), gdzie ostatni jest literą, np. SP3A lub SP3ABCD"
361,3,86,"Które prefiksy znaków wywoławczych przeznaczone są dla Polski?","HF, SN, SO, SP, SQ, SR, 3Z","HF, SN, SO, SP, SQ, 3Z, 3X","HA, SM, SO, SP, SQ, SR, 3Z"
362,3,87,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 160 m to:","1810 kHz – 1950 kHz","1810 kHz – 2000 kHz","1810 kHz – 1980 kHz"
363,3,88,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 80 m to:","3550 kHz – 3750 kHz","3500 kHz – 3750 kHz","3500 kHz – 3800 kHz"
364,3,89,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 40 m to:","7000 kHz – 7200 kHz","7100 kHz – 7300 kHz","7050 kHz – 7200 kHz"
365,3,90,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 30 m to:","10050 kHz – 10200 kHz","10100 kHz – 10150 kHz","10100 kHz – 10200 kHz"
366,3,91,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 20 m to:","14000 kHz – 14350 kHz","14000 kHz – 14450 kHz","14100 kHz – 14350 kHz"
367,3,92,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 17 m to:","18050 kHz – 18250 kHz","18068 kHz – 18168 kHz","18000 kHz – 18168 kHz"
368,3,93,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 15 m to:","21000 kHz – 21500 kHz","21100 kHz – 21450 kHz","21000 kHz – 21450 kHz"
369,3,94,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 12 m to:","24690 kHz – 24990 kHz","24890 kHz – 24990 kHz","24680 kHz – 24990 kHz"
370,3,95,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 10 m to:","28500 kHz – 29800 kHz","28000 kHz – 29500 kHz","28000 kHz – 29700 kHz"
371,3,96,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 6 m to:","50 MHz – 54 MHz","50 MHz – 52 MHz","50 MHz – 53,5 MHz"
372,3,97,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 2 m to:","144 MHz – 146 MHz","144 MHz – 148 MHz","143 MHz – 146 MHz"
373,3,98,"Co to jest bandplan IARU?","podział zakresów częstotliwości na segmenty przeznaczone dla poszczególnych rodzajów emisji lub kanały robocze","podział częstotliwości osobno nadawczych i odbiorczych","plan przydziału częstotliwości dla poszczególnych krajów"
374,3,99,"Czy dopuszcza się w bandplanie IARU możliwość pracy emisją jednowstęgową (SSB) w zakresie częstotliwości 10100 kHz – 10150 kHz (pasmo 30 m)?","nie ma żadnych ograniczeń co do stosowanych emisji","jest całkowity zakaz używania emisji jednowstęgowej w tym zakresie","dopuszcza się użycie SSB w sytuacjach bezpośredniego zagrożenia dla bezpieczeństwa życia i mienia i wyłącznie przez stacje uczestniczące w akcji ratunkowej."
375,3,100,"Jaki jest odstęp między częstotliwością nadawczą a odbiorczą przemienników pracujących w paśmie 2 m?","600 kHz","650 kHz","800 kHz"
376,4,1,"Jak nazywa się organ międzynarodowy ustalający ogólnoświatowe zasady wykonywania działalności telekomunikacyjnej i radiokomunikacyjnej?","Organizacja Narodów Zjednoczonych (ONZ)","Międzynarodowy Związek Telekomunikacyjny (ITU)","Światowa Organizacja Handlu (WTO)"
377,4,2,"Gdzie mieści się siedziba Międzynarodowego Związku Telekomunikacyjnego (ITU)?","w Nowym Jorku","w Wiedniu","w Genewie"
378,4,3,"Ile krajów zrzesza Międzynarodowy Związek Telekomunikacyjny?","50-100","100-150","150-200"
379,4,4,"Jaki organ Międzynarodowego Związku Telekomunikacyjnego (ITU) decyduje o przeznaczeniach poszczególnych zakresów częstotliwości dla różnych służb radiokomunikacyjnych?","Rada Międzynarodowego Związku Telekomunikacyjnego (ITU)","Światowe Konferencje Radiokomunikacyjne","Biuro Radiokomunikacji ITU"
380,4,5,"Jaki dokument obowiązujący wszystkie kraje członkowskie Międzynarodowego Związku Telekomunikacyjnego (ITU) określa zasady wykonywania służby radiokomunikacyjnej amatorskiej i służby amatorskiej satelitarnej oraz wymienia przyznane tym służbom zakresy częstotliwości?","Konstytucja ITU","Regulamin Radiokomunikacyjny (Radio Regulations) ITU","Konwencja ITU"
381,4,6,"W którym roku Rzeczpospolita Polska przystąpiła do Międzynarodowego Związku Telekomunikacyjnego (ITU)?","1921","1935","1956"
382,4,7,"Jak brzmi definicja służby amatorskiej zamieszczona w Regulaminie Radiokomunikacyjnym Międzynarodowego Związku Telekomunikacyjnego (ITU)","„służba radiokomunikacyjna wykonywana przez radioamatorów w celu nawiązywania wzajemnych znajomości i wymiany informacji technicznych”","„służba radiokomunikacyjna mająca na celu samokształcenie, wzajemne komunikowanie się i eksperymenty techniczne prowadzone przez amatorów, to jest przez odpowiednio upoważnione osoby interesujące się techniką radiową wyłącznie z pobudek osobistych, bez celów zarobkowych”","„służba radiokomunikacyjna mająca na celu badanie propagacji fal radiowych w zakresach krótkofalowym i ultrakrótkofalowym oraz warunków meteorologicznych”"
383,4,8,"Regulamin Radiokomunikacyjny ITU dzieli świat na trzy regiony. W którym regionie radiokomunikacyjnym znajduje się Polska?","w trzecim","w pierwszym","w drugim"
384,4,9,"Czy Regulamin Radiokomunikacyjny ITU przewiduje wykorzystanie stacji amatorskich w akcjach humanitarnych, niesienia pomocy w przypadkach katastrof, klęsk żywiołowych i innych zagrożeń?","nie zezwala na takie wykorzystanie stacji amatorskich","niezbędny jest specjalny wpis do pozwolenia radioamatorskiego","usilnie zaleca się wykorzystywanie stacji amatorskich w powyższych przypadkach"
385,4,10,"Czy Regulamin Radiokomunikacyjny reguluje zasady przyznawania znaków wywoławczych stacjom amatorskim?","nie, regulują to przepisy krajowe","tak, Regulamin Radiokomunikacyjny określa ściśle zasady przyznawania znaków","nie, znak wywoławczy obiera sobie sam operator stacji"
386,4,11,"Czy postanowienia Regulaminu Radiokomunikacyjnego ITU dotyczące służby amatorskiej obowiązują również w służbie amatorskiej satelitarnej?","tak, obowiązują","nie, obowiązują odrębne przepisy","nie obowiązują żadne przepisy"
387,4,12,"Co zgodnie z Regulaminem Radiokomunikacyjnym ITU musi zapewnić operator amatorskiej orbitalnej stacji satelitarnej?","nadawanie przez amatorską stację satelitarną jej znaku wywoławczego","niezwłoczne zdalne wyłączenie amatorskiej stacji satelitarnej w przypadku powodowania przez nią szkodliwych zakłóceń dla innych służb radiokomunikacyjnych","nadawanie przez amatorską stację satelitarną komunikatów meteorologicznych"
388,4,13,"Jak nazywa się organ międzynarodowy zrzeszający krajowe administracje łączności z terenu Europy?","Rada Europy (EC)","Europejska Konferencja Administracji Pocztowych i Telekomunikacyjnych (CEPT)","Organizacja Bezpieczeństwa i Współpracy w Europie (OBWE)"
389,4,14,"Gdzie mieści się siedziba Europejskiego Biura Komunikacji (ECO)?","w Brukseli","w Helsinkach","w Kopenhadze"
390,4,15,"Jakiego rodzaju dokumenty regulujące działalność radiokomunikacyjną w Europie przyjmuje i wprowadza Europejska Konferencja Administracji Pocztowych i Telekomunikacyjnych (CEPT) i publikuje Europejskie Biuro Komunikacji (ECO)?","decyzje","decyzje i zalecenia","decyzje, zalecenia i raporty"
391,4,16,"Jakie dokumenty Europejskiej Konferencji Administracji Pocztowych i Telekomunikacyjnych (CEPT) regulują sprawę międzynarodowego uznawania pozwoleń i międzynarodowych wymagań egzaminacyjnych w służbie amatorskiej?","Uchwały Komitetu Komunikacji Elektronicznej CEPT","Zalecenia CEPT T/R 61-01 i T/R 61-02","Zalecenia CEPT T/R 22-01 i T/R 22-02"
392,4,17,"Przez jaki okres czasu może posiadacz międzynarodowego pozwolenia amatorskiego zgodnego z zaleceniem CEPT T/R 61-01 pracować z terytorium innego kraju uznającego to zalecenie, bez konieczności uzyskiwania pozwolenia od miejscowej administracji łączności?","1 miesiąc","3 miesiące","1 rok"
393,4,18,"Czy przepisy Międzynarodowego Związku Telekomunikacyjnego (ITU) i Europejskiej Konferencji Administracji Pocztowych i Telekomunikacyjnych (CEPT) wprowadzają obowiązkowy wymóg umiejętności odbioru i nadawania znaków w kodzie Morse’a przy egzaminie na świadectwo radiooperatora w służbie amatorskiej?","wprowadzają wymóg jako obowiązkowy","pozostawiają powyższy wymóg do decyzji krajowych administracji łączności","znoszą całkowicie powyższy wymóg"
394,4,19,"Kto określa maksymalną moc wyjściową radiostacji amatorskiej podawaną w pozwoleniu?","Międzynarodowy Związek Telekomunikacyjny (ITU)","Europejskie Biuro Komunikacji (ECO)","krajowa administracja łączności"
395,4,20,"Jaka organizacja reprezentuje służbę amatorską na forum międzynarodowym?","Międzynarodowy Związek Telekomunikacyjny (ITU)","Międzynarodowy Związek Radioamatorów (IARU)","Europejskie Biuro Komunikacji (ECO)"
396,4,21,"Ile organizacji regionalnych składa się na ogólnoświatowy Międzynarodowy Związek Radioamatorów (IARU – the International Amateur Radio Union)?","trzy","cztery","pięć"
397,4,22,"W którym roku i w jakim miejscu powstał Międzynarodowy Związek Radioamatorów (IARU)?","w roku 1930 w Genewie","w roku 1925 w Paryżu","w roku 1910 w Berlinie"
398,4,23,"W którym roku powstał Polski Związek Krótkofalowców (PZK)?","w roku 1924","w roku 1930","w roku 1946"
399,4,24,"Jaki organ krajowy reguluje i kontroluje pracę stacji amatorskich oraz wydaje pozwolenia w służbie amatorskiej?","Minister właściwy do spraw łączności","Prezes Urzędu Komunikacji Elektronicznej","Minister właściwy do spraw wewnętrznych"
400,4,25,"Jaki podstawowy akt prawny reguluje działalność telekomunikacyjną i radiokomunikacyjną w Polsce?","statut Urzędu Komunikacji Elektronicznej (UKE)","ustawa Prawo ochrony środowiska","ustawa Prawo telekomunikacyjne"
401,4,26,"W jakim dokumencie określone są zakresy częstotliwości przeznaczone w Polsce dla służby amatorskiej i służby amatorskiej satelitarnej?","w ustawie Prawo telekomunikacyjne","w rozporządzeniu Rady Ministrów w sprawie Krajowej Tablicy Przeznaczeń Częstotliwości","w decyzjach Prezesa Urzędu Komunikacji Elektronicznej"
402,4,27,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie „służba pierwszej ważności” oznacza, że:","służba taka nie jest chroniona przed szkodliwymi zakłóceniami ze strony służb drugiej ważności","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb, którym częstotliwości zostały już przydzielone","służba taka jest chroniona przed szkodliwymi zakłóceniami ze strony stacji służb drugiej ważności oraz ze strony stacji tej samej lub innych służb pierwszej ważności, którym częstotliwości zostały przydzielone w późniejszym terminie, służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym wcześniej przydzielono częstotliwości"
403,4,28,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie „służba drugiej ważności” oznacza, że:","służba taka może powodować szkodliwe zakłócenia w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie","służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb drugiej ważności, którym wcześniej przydzielono częstotliwości; służba taka nie może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji służb pierwszej ważności; służba taka może jednak żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości zostały przydzielone w późniejszym terminie","służba taka nie może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości zostały przydzielone w późniejszym terminie"
404,4,29,"Jaki dokument określa kategorie pozwoleń w służbie amatorskiej i dozwolone moce wyjściowe radiostacji amatorskiej?","ustawa Prawo telekomunikacyjne","rozporządzenie ministra właściwego do spraw łączności","zarządzenie Prezesa Urzędu Komunikacji Elektronicznej"
405,4,30,"Do czego upoważnia świadectwo operatora klasy A w służbie radiokomunikacyjnej amatorskiej?","do uzyskania pozwolenia amatorskiego kategorii 1","do uzyskania pozwolenia amatorskiego kategorii 3","wyłącznie do pracy na radiostacji klubowej"
406,4,31,"Do czego upoważnia świadectwo operatora klasy C w służbie radiokomunikacyjnej amatorskiej?","do uzyskania pozwolenia amatorskiego kategorii 2","do uzyskania pozwolenia amatorskiego kategorii 3","do organizowania zawodów w amatorskiej radiolokacji sportowej"
407,4,32,"Na jaki okres czasu wydawane są indywidualne pozwolenia amatorskie kategorii 1 i 3?","10 lat","15 lat","dożywotnio"
408,4,33,"Na jaki okres czasu wydawane są pozwolenia amatorskie kategorii 5?","5 lat","10 lat","15 lat"
409,4,34,"Jaka jest maksymalna moc wyjściowa radiostacji amatorskiej w przypadku pozwolenia kategorii 1 uzyskanego po raz pierwszy?","50 watów","500 watów","250 watów"
410,4,35,"Jaka jest maksymalna moc wyjściowa radiostacji amatorskiej w przypadku pozwolenia kategorii 3?","15 watów","100 watów","150 watów"
411,4,36,"Jaka jest moc maksymalna wyjściowa radiostacji amatorskiej w przypadku pozwolenia kategorii 5?","50 watów dla nadajnika poniżej 30MHz, a 15 watów da nadajnika powyżej 30MHz","50 watów","150 watów"
412,4,37,"Jaka jest maksymalna moc wyjściowa radiostacji w przypadku pozwolenia dodatkowego?","500 watów","1000 watów","1500 watów"
413,4,38,"W jakich zakresach krótkofalowych może pracować operator posiadający pozwolenie kategorii 1?","3500 – 3800 kHz oraz 7000 – 7100 kHz","7000 – 7100 kHz oraz 28000 – 29700 kHz","we wszystkich zakresach częstotliwości przeznaczonych dla służby radiokomunikacyjnej amatorskiej na terytorium RP"
414,4,39,"W jakich zakresach częstotliwości może pracować operator posiadający pozwolenie kategorii 3?","28000 – 29700 kHz oraz 144 – 146 MHz","1,81-2 MHz; 3,5-3,8 MHz; 7-7,2 MHz; 14-14,35 MHz; 21-21,45 MHz; 28-29,7 MHz, 144 – 146 MHz; 430 – 440 MHz oraz 10-10,5 GHz.","28000 – 29700 kHz oraz 430 – 440 MHz"
415,4,40,"Jaki jest minimalny wiek, w którym można przystąpić do egzaminu i uzyskać świadectwo operatora urządzeń radiowych w służbie amatorskiej oraz uzyskać pozwolenie dla służby radiokomunikacyjnej amatorskiej?","10 lat dla uzyskania świadectwa klasy C oraz 15 lat dla uzyskania świadectwa klasy A","15 lat dla uzyskania świadectwa klasy A i C","nie określono minimalnego wieku"
